animation_name,length_sec,track_count,correct_hip,correct_xz,animation_type,weapon_attached,wired_connections,storage_domain,verified_for_use,skeleton,pack_or_folder,source_path,in_wiring_table,asset_exists,load_ok,notes,asset_cache_key,controller_status,optimization_priority,default_loop_policy,preload_tier,recommended_action
standing-walk-forward,1.1333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walk} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-forward,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,magic/standing-walk-forward,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
standing-walk-left,1.1667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walkL} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,magic/standing-walk-left,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
standing-walk-right,1.2000,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walkR} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,magic/standing-walk-right,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
sword-and-shield-attack,2.3333,20,pipeline_locked_if_played,pipeline_locked_if_played,attack,sword_shield,grudge_pack:{attack} packs=sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,sword_shield,sword_shield/sword-and-shield-attack,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,sword_shield/sword-and-shield-attack,READY,P3,LoopOnce,ON_DEMAND,Keep mapped; monitor transition quality and memory use.
sword-and-shield-block,0.5667,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,sword_shield,grudge_pack:{block+parry} packs=sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,sword_shield,sword_shield/sword-and-shield-block,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,sword_shield/sword-and-shield-block,READY,P3,LoopOnce,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
sword-and-shield-idle,2.5333,20,pipeline_locked_if_played,pipeline_locked_if_played,idle,sword_shield,grudge_pack:{idle} packs=sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,sword_shield,sword_shield/sword-and-shield-idle,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,sword_shield/sword-and-shield-idle,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
sword-and-shield-run,0.7000,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,sword_shield,grudge_pack:{run} packs=sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,sword_shield,sword_shield/sword-and-shield-run,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,sword_shield/sword-and-shield-run,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
running,2.5333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed,grudge_pack:{run} packs=unarmed,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed,locomotion/running,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,locomotion/running,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
running,1.6333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|magic|sword_shield|longbow,grudge_pack:{sprint} packs=unarmed|magic|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|magic|sword_shield|longbow,uploads_2026_06/locomotion/running,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,uploads_2026_06/locomotion/running,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
punching,1.0333,20,pipeline_locked_if_played,pipeline_locked_if_played,attack,unarmed|magic,grudge_pack:{attack} packs=unarmed|magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|magic,unarmed/punching,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,unarmed/punching,READY,P3,LoopOnce,ON_DEMAND,Keep mapped; monitor transition quality and memory use.
walking,1.0000,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield,grudge_pack:{walk} packs=unarmed|sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield,locomotion/walking,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,locomotion/walking,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
run-back,0.6667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runB} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/run-back,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
run-left,0.6667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runL} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/run-left,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
run-right,0.7667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runR} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/run-right,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
walk-back,1.4667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkB} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/walk-back,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
walk-left,1.2000,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkL} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/walk-left,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
walk-right,1.2000,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkR} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,longbow/walk-right,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
fight_idle,2.3667,20,pipeline_locked_if_played,pipeline_locked_if_played,idle,unarmed,grudge_pack:{idle} packs=unarmed,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed,unarmed/fight_idle,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip,unarmed/fight_idle,READY,P3,LoopRepeat,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
hip-hop-dancing,,0,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,extra,animations/extra/hip-hop-dancing,no,yes,fail,load_err=window is not defined; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/hip-hop-dancing,BLOCKED_LOAD_ERROR,P0,LoopOnce,DO_NOT_LOAD,Fix the loader/runtime error or convert the source to a validated GLB.
draw-great-sword-2,,0,not_played_unverified,not_played_unverified,weapon_handling,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,greatsword,animations/greatsword/draw-great-sword-2,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/greatsword/draw-great-sword-2,BLOCKED_LOAD_ERROR,P0,LoopOnce,DO_NOT_LOAD,Fix the loader/runtime error or convert the source to a validated GLB.
great-sword-blocking,,0,not_played_unverified,not_played_unverified,defense,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,greatsword,animations/greatsword/great-sword-blocking,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/greatsword/great-sword-blocking,BLOCKED_LOAD_ERROR,P0,LoopOnce,DO_NOT_LOAD,Fix the loader/runtime error or convert the source to a validated GLB.
standing-2h-magic-area-attack-01,,0,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,magic,animations/magic/standing-2h-magic-area-attack-01,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/magic/standing-2h-magic-area-attack-01,BLOCKED_LOAD_ERROR,P0,LoopOnce,DO_NOT_LOAD,Fix the loader/runtime error or convert the source to a validated GLB.
knocked-out,,0,not_played_unverified,not_played_unverified,reaction,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,reactions,animations/reactions/knocked-out,no,yes,fail,load_err=document is not defined; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/reactions/knocked-out,BLOCKED_LOAD_ERROR,P0,LoopOnce,DO_NOT_LOAD,Fix the loader/runtime error or convert the source to a validated GLB.
parry,0.5000,20,not_played_unverified,not_played_unverified,defense,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,block,animations/block/parry,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/block/parry,READY_TO_WIRE,P1,LoopOnce,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
standing-melee-kick,1.4333,21,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,bow,animations/bow/standing-melee-kick,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/bow/standing-melee-kick,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
climbing,3.8333,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,climb,animations/climb/climbing,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/climb/climbing,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
crouched-to-sprinting,0.5000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/crouched-to-sprinting,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/crouched-to-sprinting,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
frisbee-throw,3.3000,21,not_played_unverified,not_played_unverified,utility,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/frisbee-throw,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/frisbee-throw,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
male-dynamic-pose,0.0333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/male-dynamic-pose,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/male-dynamic-pose,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
pushing,1.3333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/pushing,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/pushing,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
start-swinging,2.0333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/start-swinging,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/extra/start-swinging,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
jump,2.0000,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/jump,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/jump,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
jump-2,0.8000,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/jump-2,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/jump-2,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
kneel-to-stand,1.3667,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/kneel-to-stand,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/kneel-to-stand,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
run-backward-arc-left,0.5000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/run-backward-arc-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/run-backward-arc-left,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
run-backward-arc-right,0.5000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/run-backward-arc-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/run-backward-arc-right,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
stand-to-kneel,1.0000,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/stand-to-kneel,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/stand-to-kneel,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
strafe-left,0.5667,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/strafe-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/strafe-left,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
strafe-right,0.6000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/strafe-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/strafe-right,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
walk-backward-arc-left,0.6000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/walk-backward-arc-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/walk-backward-arc-left,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
walk-backward-arc-right,0.6000,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/walk-backward-arc-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/pistol/walk-backward-arc-right,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
idle-aiming,2.1000,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,rifle,animations/rifle/idle-aiming,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/rifle/idle-aiming,READY_TO_WIRE,P1,LoopRepeat,CORE_PRELOAD,"Add a controller mapping, then play-test hip and XZ locking."
Flip_Kick,2.8000,21,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,striker,animations/striker/Flip_Kick,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/striker/flip_kick,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
slash-advance,2.5000,20,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,sword,animations/sword/slash-advance,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL,animations/sword/slash-advance,READY_TO_WIRE,P1,LoopOnce,ON_DEMAND,"Add a controller mapping, then play-test hip and XZ locking."
block-react-large,1.3333,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockReactWide},local:public/anim,wired_and_loads,mixamo,block,animations/block/block-react-large,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator,animations/block/block-react-large,READY,P3,LoopOnce,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
great-sword-impact,0.8667,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockReactHeavy},local:public/anim,wired_and_loads,mixamo,block,animations/block/great-sword-impact,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator,animations/block/great-sword-impact,READY,P3,LoopOnce,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
left-block,1.5000,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockLeft},local:public/anim,wired_and_loads,mixamo,block,animations/block/left-block,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator,animations/block/left-block,READY,P3,LoopOnce,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
right-block,1.7000,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockRight},local:public/anim,wired_and_loads,mixamo,block,animations/block/right-block,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator,animations/block/right-block,READY,P3,LoopOnce,CORE_PRELOAD,Keep mapped; monitor transition quality and memory use.
